iteration,median,low_q,high_q,mean,std,EF,top_percent,AF,AF_low,AF_high
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04200000000000001,0.8385911668397092,0.8385911668397092,0.8385911668397092
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04400000000000001,0.878453921098866,0.878453921098866,0.878453921098866
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04600000000000001,0.9183103090313823,0.9183103090313823,0.9183103090313823
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048000000000000015,0.9581603321622485,0.9581603321622485,0.9581603321622485
26.0,1.0,1.0,1.0,1.0,0.0,19.230769230769223,0.05000000000000002,0.998003992015968,0.998003992015968,0.998003992015968
27.0,1.0,1.0,1.0,1.0,0.0,18.518518518518512,0.05200000000000002,1.0378412901165577,1.0378412901165577,1.0378412901165577
28.0,1.0,1.0,1.0,1.0,0.0,17.85714285714285,0.05400000000000002,1.077672227987547,1.077672227987547,1.077672227987547
29.0,1.0,1.0,1.0,1.0,0.0,17.241379310344822,0.05600000000000002,1.1174968071519795,1.1174968071519795,1.1174968071519795
30.0,1.0,1.0,1.0,1.0,0.0,16.66666666666666,0.058000000000000024,1.1573150291324128,1.1573150291324128,1.1573150291324128
31.0,1.0,1.0,1.0,1.0,0.0,16.12903225806451,0.060000000000000026,1.1971268954509178,1.1971268954509178,1.1971268954509178
32.0,1.0,1.0,1.0,1.0,0.0,15.624999999999993,0.06200000000000003,1.2369324076290797,1.2369324076290797,1.2369324076290797
33.0,1.0,1.0,1.0,1.0,0.0,15.151515151515145,0.06400000000000003,1.2767315671879986,1.2767315671879986,1.2767315671879986
34.0,1.0,1.0,1.0,1.0,0.0,14.705882352941169,0.06600000000000003,1.3165243756482885,1.3165243756482885,1.3165243756482885
35.0,1.0,1.0,1.0,1.0,0.0,14.28571428571428,0.06800000000000003,1.356310834530078,1.356310834530078,1.356310834530078
36.0,1.0,1.0,1.0,1.0,0.0,13.888888888888882,0.07000000000000003,1.3960909453530115,1.3960909453530115,1.3960909453530115
37.0,1.0,1.0,1.0,1.0,0.0,13.513513513513507,0.07200000000000004,1.4358647096362476,1.4358647096362476,1.4358647096362476
38.0,1.0,1.0,1.0,1.0,0.0,13.157894736842099,0.07400000000000004,1.4756321288984604,1.4756321288984604,1.4756321288984604
39.0,1.0,1.0,1.0,1.0,0.0,12.820512820512814,0.07600000000000004,1.5153932046578402,1.5153932046578402,1.5153932046578402
40.0,1.0,1.0,1.0,1.0,0.0,12.499999999999995,0.07800000000000004,1.5551479384320919,1.5551479384320919,1.5551479384320919
41.0,1.0,1.0,1.0,1.0,0.0,12.195121951219507,0.08000000000000003,1.594896331738437,1.594896331738437,1.594896331738437
42.0,1.0,1.0,1.0,1.0,0.0,11.904761904761902,0.08200000000000003,1.634638386093613,1.634638386093613,1.634638386093613
43.0,1.0,1.0,1.0,1.0,0.0,11.627906976744184,0.08400000000000002,1.6743741030138735,1.6743741030138735,1.6743741030138735
44.0,1.0,1.0,1.0,1.0,0.0,11.363636363636363,0.08600000000000002,1.7141034840149885,1.7141034840149885,1.7141034840149885
45.0,1.0,1.0,1.0,1.0,0.0,11.11111111111111,0.08800000000000001,1.753826530612245,1.753826530612245,1.753826530612245
46.0,1.0,1.0,1.0,1.0,0.0,10.869565217391305,0.09,1.7935432443204464,1.7935432443204464,1.7935432443204464
47.0,1.0,1.0,1.0,1.0,0.0,10.638297872340427,0.092,1.8332536266539137,1.8332536266539137,1.8332536266539137
48.0,1.0,1.0,1.0,1.0,0.0,10.41666666666667,0.09399999999999999,1.8729576791264844,1.8729576791264844,1.8729576791264844
49.0,1.0,1.0,1.0,1.0,0.0,10.204081632653065,0.09599999999999997,1.9126554032515142,1.9126554032515142,1.9126554032515142
