Filename	10-23-23-pegda-pegmea-0a380-0litfsi
Instrument name	DSC2A-01583 (172.23.160.11)
Operator	JJS
rundate	10/7/2024
Sample name	10-23-23-pegda-pegmea-0a380-0litfsi
proceduresegments	Ramp 5.00 °C/min to 120.00 °C; Ramp 5.00 °C/min to -100.00 °C; Ramp 5.00 °C/min to 120.00 °C; Ramp 5.00 °C/min to -100.00 °C; Ramp 5.00 °C/min to 120.00 °C
[step]
Ramp 5.00 °C/min to -100.00 °C
Time	Temperature	Heat Flow (Normalized)
107.09	119.65	-0.197
107.09	119.65	-0.198
107.09	119.66	-0.199
107.09	119.64	-0.195
107.09	119.64	-0.195
107.09	119.65	-0.197
107.09	119.65	-0.198
107.09	119.66	-0.199
107.09	119.66	-0.199
107.09	119.65	-0.196
107.09	119.66	-0.199
107.10	119.66	-0.201
107.10	119.67	-0.201
107.10	119.67	-0.202
107.10	119.67	-0.203
107.10	119.67	-0.203
107.10	119.66	-0.200
107.10	119.66	-0.200
107.10	119.67	-0.201
107.10	119.67	-0.202
107.10	119.67	-0.203
107.10	119.67	-0.203
107.10	119.66	-0.201
107.10	119.67	-0.204
107.11	119.67	-0.204
107.11	119.67	-0.205
107.11	119.67	-0.205
107.11	119.68	-0.205
107.11	119.67	-0.204
107.11	119.67	-0.204
107.11	119.67	-0.204
107.11	119.67	-0.205
107.11	119.67	-0.205
107.11	119.68	-0.205
107.11	119.68	-0.205
107.10	119.67	-0.204
107.11	119.68	-0.205
107.12	119.68	-0.205
107.12	119.67	-0.205
107.12	119.67	-0.205
107.12	119.67	-0.205
107.12	119.68	-0.205
107.12	119.68	-0.205
107.12	119.67	-0.205
107.12	119.67	-0.205
107.12	119.67	-0.205
107.13	119.67	-0.204
107.13	119.67	-0.204
107.12	119.68	-0.205
107.13	119.67	-0.204
107.13	119.67	-0.203
107.13	119.67	-0.203
107.13	119.67	-0.202
107.13	119.67	-0.204
107.13	119.67	-0.203
107.13	119.67	-0.202
107.13	119.67	-0.202
107.13	119.67	-0.203
107.14	119.67	-0.202
107.14	119.66	-0.201
107.14	119.66	-0.201
107.14	119.66	-0.199
107.13	119.67	-0.202
107.14	119.67	-0.202
107.14	119.66	-0.201
107.14	119.66	-0.199
107.14	119.66	-0.201
107.14	119.66	-0.197
107.15	119.65	-0.192
107.15	119.65	-0.190
107.15	119.65	-0.189
107.15	119.64	-0.187
107.15	119.64	-0.185
107.14	119.65	-0.195
107.14	119.66	-0.197
107.15	119.65	-0.192
107.15	119.65	-0.190
107.15	119.65	-0.189
107.15	119.64	-0.187
107.15	119.64	-0.185
107.15	119.64	-0.184
107.14	119.65	-0.195
107.15	119.64	-0.184
107.16	119.64	-0.180
107.16	119.63	-0.178
107.16	119.63	-0.176
107.16	119.63	-0.174
107.16	119.62	-0.171
107.15	119.64	-0.182
107.15	119.64	-0.182
107.16	119.63	-0.178
107.16	119.63	-0.176
107.16	119.63	-0.174
107.16	119.62	-0.171
107.16	119.62	-0.169
107.16	119.64	-0.180
107.16	119.62	-0.169
107.17	119.61	-0.165
107.17	119.61	-0.162
107.17	119.61	-0.160
107.17	119.60	-0.158
107.18	119.60	-0.156
107.17	119.62	-0.167
107.17	119.62	-0.167
107.17	119.61	-0.162
107.17	119.61	-0.160
107.17	119.60	-0.158
107.18	119.60	-0.156
107.18	119.60	-0.154
107.17	119.61	-0.165
107.18	119.60	-0.154
107.18	119.59	-0.149
107.18	119.59	-0.147
107.18	119.58	-0.145
107.19	119.58	-0.142
107.19	119.57	-0.140
107.19	119.57	-0.138
107.19	119.57	-0.135
107.18	119.59	-0.151
107.18	119.59	-0.149
107.18	119.59	-0.147
107.18	119.58	-0.145
107.19	119.58	-0.142
107.19	119.57	-0.140
107.19	119.57	-0.138
107.19	119.57	-0.135
107.19	119.56	-0.133
107.18	119.59	-0.151
107.19	119.56	-0.133
107.20	119.55	-0.128
107.20	119.55	-0.126
107.20	119.55	-0.124
107.20	119.54	-0.122
107.20	119.54	-0.119
107.20	119.53	-0.117
107.20	119.53	-0.115
107.21	119.53	-0.113
107.21	119.52	-0.111
107.21	119.52	-0.109
107.21	119.51	-0.107
107.19	119.56	-0.131
107.19	119.56	-0.131
107.20	119.55	-0.126
107.20	119.55	-0.124
107.20	119.54	-0.122
107.20	119.54	-0.119
107.20	119.53	-0.117
107.20	119.53	-0.115
107.21	119.53	-0.113
107.21	119.52	-0.111
107.21	119.52	-0.109
107.21	119.51	-0.107
107.21	119.51	-0.105
107.20	119.55	-0.128
107.21	119.51	-0.105
107.22	119.50	-0.100
107.22	119.49	-0.098
107.22	119.49	-0.096
107.22	119.48	-0.094
107.22	119.48	-0.092
107.23	119.48	-0.090
107.21	119.50	-0.103
107.22	119.50	-0.100
107.22	119.49	-0.098
107.22	119.49	-0.096
107.22	119.48	-0.094
107.22	119.48	-0.092
107.23	119.48	-0.090
107.23	119.47	-0.088
107.21	119.50	-0.103
107.23	119.47	-0.088
107.23	119.46	-0.084
107.23	119.46	-0.082
107.23	119.45	-0.080
107.24	119.45	-0.078
107.24	119.44	-0.076
107.24	119.44	-0.074
107.23	119.47	-0.086
107.23	119.47	-0.086
107.23	119.46	-0.082
107.23	119.45	-0.080
107.24	119.45	-0.078
107.24	119.44	-0.076
107.24	119.44	-0.074
107.24	119.43	-0.072
107.23	119.46	-0.084
107.24	119.43	-0.072
107.24	119.42	-0.069
107.25	119.41	-0.067
107.25	119.41	-0.065
107.25	119.40	-0.063
107.25	119.40	-0.061
107.25	119.39	-0.059
107.24	119.42	-0.071
107.24	119.42	-0.071
107.25	119.41	-0.067
107.25	119.41	-0.065
107.25	119.40	-0.063
107.25	119.40	-0.061
107.25	119.39	-0.059
107.25	119.39	-0.057
107.24	119.42	-0.069
107.25	119.39	-0.057
107.26	119.38	-0.054
107.26	119.37	-0.052
107.26	119.36	-0.051
107.26	119.36	-0.049
107.26	119.35	-0.047
107.26	119.35	-0.045
107.25	119.38	-0.056
107.25	119.38	-0.056
107.26	119.37	-0.052
107.26	119.36	-0.051
107.26	119.36	-0.049
107.26	119.35	-0.047
107.26	119.35	-0.045
107.26	119.38	-0.054
107.27	119.34	-0.043
107.27	119.33	-0.039
107.27	119.33	-0.038
107.27	119.32	-0.036
107.27	119.34	-0.041
107.27	119.34	-0.043
107.27	119.33	-0.039
107.27	119.33	-0.038
107.27	119.32	-0.036
107.28	119.31	-0.035
107.27	119.34	-0.041
107.28	119.31	-0.035
107.28	119.30	-0.031
107.28	119.29	-0.030
107.28	119.29	-0.028
107.28	119.28	-0.027
107.29	119.28	-0.025
107.28	119.31	-0.033
107.28	119.31	-0.033
107.28	119.29	-0.030
107.28	119.29	-0.028
107.28	119.28	-0.027
107.29	119.28	-0.025
107.28	119.30	-0.031
107.29	119.27	-0.023
107.29	119.26	-0.020
107.29	119.25	-0.019
107.29	119.26	-0.022
107.29	119.27	-0.023
107.29	119.26	-0.020
107.29	119.25	-0.019
107.29	119.25	-0.017
107.29	119.26	-0.022
107.29	119.25	-0.017
107.30	119.23	-0.014
107.30	119.23	-0.012
107.30	119.22	-0.011
107.30	119.24	-0.016
107.30	119.24	-0.016
107.30	119.23	-0.012
107.30	119.22	-0.011
107.30	119.21	-0.009
107.30	119.21	-0.008
107.30	119.23	-0.014
107.30	119.21	-0.009
107.30	119.20	-0.006
107.31	119.20	-0.005
107.31	119.19	-0.004
107.30	119.21	-0.008
107.30	119.20	-0.006
107.31	119.19	-0.004
107.31	119.18	-0.003
107.31	119.18	-0.002
107.31	119.17	0.000
107.31	119.20	-0.005
107.31	119.18	-0.003
107.31	119.17	0.000
107.31	119.16	0.001
107.32	119.16	0.003
107.32	119.15	0.005
107.32	119.14	0.006
107.31	119.18	-0.002
107.31	119.16	0.001
107.32	119.15	0.005
107.32	119.14	0.006
107.32	119.14	0.008
107.32	119.13	0.009
107.32	119.16	0.003
107.32	119.14	0.008
107.33	119.12	0.010
107.33	119.12	0.011
107.33	119.11	0.013
107.32	119.13	0.009
107.33	119.12	0.010
107.33	119.11	0.013
107.33	119.10	0.014
107.33	119.10	0.015
107.33	119.09	0.016
107.33	119.12	0.011
107.33	119.10	0.014
107.33	119.09	0.016
107.34	119.08	0.017
107.34	119.08	0.018
107.34	119.07	0.019
107.33	119.10	0.015
107.34	119.08	0.017
107.34	119.07	0.019
107.34	119.06	0.021
107.34	119.06	0.022
107.34	119.05	0.023
107.34	119.08	0.018
107.34	119.06	0.021
107.34	119.05	0.023
107.35	119.04	0.024
107.35	119.04	0.025
107.35	119.03	0.027
107.35	119.02	0.028
107.34	119.06	0.022
107.35	119.04	0.024
107.35	119.03	0.027
107.35	119.02	0.028
107.35	119.02	0.029
107.35	119.01	0.030
107.35	119.00	0.031
107.35	119.04	0.025
107.35	119.02	0.029
107.35	119.00	0.031
107.36	119.00	0.032
107.36	118.99	0.033
107.36	118.98	0.034
107.36	118.97	0.035
107.36	118.97	0.036
107.36	118.96	0.037
107.35	119.01	0.030
107.36	119.00	0.032
107.36	118.98	0.034
107.36	118.97	0.035
107.36	118.97	0.036
107.36	118.96	0.037
107.37	118.95	0.038
107.37	118.95	0.039
107.37	118.94	0.040
107.37	118.93	0.041
107.37	118.93	0.042
107.38	118.92	0.043
107.36	118.99	0.033
107.37	118.95	0.039
107.37	118.94	0.040
107.37	118.93	0.041
107.37	118.93	0.042
107.38	118.92	0.043
107.38	118.91	0.044
107.38	118.90	0.045
107.38	118.90	0.046
107.38	118.89	0.047
107.38	118.88	0.048
107.39	118.88	0.049
107.39	118.87	0.050
107.37	118.95	0.038
107.38	118.91	0.044
107.38	118.90	0.046
107.38	118.89	0.047
107.38	118.88	0.048
107.39	118.88	0.049
107.39	118.87	0.050
107.39	118.86	0.050
107.39	118.85	0.051
107.39	118.85	0.052
107.39	118.84	0.052
107.40	118.83	0.053
107.40	118.83	0.054
107.38	118.90	0.045
107.39	118.86	0.050
107.39	118.85	0.052
107.39	118.84	0.052
107.40	118.83	0.053
107.40	118.83	0.054
107.40	118.82	0.055
107.40	118.81	0.056
107.39	118.85	0.051
107.40	118.80	0.056
107.40	118.79	0.058
107.41	118.78	0.059
107.40	118.80	0.057
107.40	118.82	0.055
107.40	118.80	0.056
107.40	118.80	0.057
107.40	118.79	0.058
107.41	118.78	0.059
107.41	118.77	0.060
107.40	118.81	0.056
107.41	118.77	0.060
107.41	118.76	0.062
107.41	118.75	0.062
107.41	118.74	0.063
107.42	118.74	0.064
107.41	118.77	0.061
107.41	118.77	0.061
107.41	118.75	0.062
107.41	118.74	0.063
107.42	118.74	0.064
107.42	118.73	0.064
107.42	118.72	0.065
107.41	118.76	0.062
107.42	118.72	0.065
107.42	118.72	0.066
107.42	118.71	0.066
107.43	118.70	0.067
107.42	118.73	0.064
107.42	118.72	0.066
107.43	118.70	0.067
107.43	118.69	0.068
107.43	118.69	0.068
107.43	118.68	0.069
107.43	118.67	0.070
107.42	118.71	0.066
107.43	118.69	0.068
107.43	118.68	0.069
107.43	118.67	0.070
107.43	118.66	0.071
107.44	118.66	0.072
107.44	118.65	0.073
107.43	118.69	0.068
107.43	118.66	0.071
107.44	118.65	0.073
107.44	118.64	0.073
107.44	118.63	0.074
107.44	118.63	0.075
107.44	118.62	0.075
107.44	118.66	0.072
107.44	118.64	0.073
107.44	118.63	0.075
107.44	118.62	0.075
107.45	118.61	0.075
107.45	118.60	0.075
107.45	118.60	0.076
107.44	118.63	0.074
107.45	118.61	0.075
107.45	118.60	0.076
107.45	118.59	0.076
107.45	118.58	0.077
107.45	118.57	0.078
107.45	118.56	0.078
107.45	118.60	0.075
107.45	118.59	0.076
107.45	118.57	0.078
107.45	118.56	0.078
107.46	118.56	0.079
107.46	118.55	0.080
107.45	118.58	0.077
107.46	118.54	0.081
107.46	118.53	0.082
107.46	118.52	0.082
107.47	118.51	0.083
107.47	118.50	0.083
107.46	118.54	0.081
107.46	118.56	0.079
107.46	118.54	0.081
107.46	118.54	0.081
107.46	118.53	0.082
107.46	118.52	0.082
107.47	118.51	0.083
107.47	118.50	0.083
107.47	118.50	0.084
107.46	118.55	0.080
107.47	118.50	0.084
107.47	118.48	0.085
107.48	118.47	0.085
107.48	118.47	0.086
107.48	118.46	0.087
107.47	118.49	0.084
107.47	118.49	0.084
107.48	118.47	0.085
107.48	118.47	0.086
107.48	118.46	0.087
107.48	118.45	0.087
107.47	118.48	0.085
107.48	118.45	0.087
107.48	118.43	0.088
107.49	118.43	0.089
107.49	118.42	0.089
107.49	118.41	0.089
107.49	118.41	0.089
107.48	118.44	0.088
107.48	118.44	0.088
107.49	118.43	0.089
107.49	118.42	0.089
107.49	118.41	0.089
107.49	118.41	0.089
107.48	118.43	0.088
107.49	118.40	0.090
107.50	118.38	0.091
107.50	118.37	0.091
107.50	118.37	0.092
107.50	118.36	0.092
107.50	118.35	0.093
107.49	118.39	0.090
107.49	118.40	0.090
107.50	118.38	0.091
107.50	118.37	0.091
107.50	118.37	0.092
107.50	118.36	0.092
107.50	118.35	0.093
107.49	118.39	0.090
107.50	118.34	0.093
107.51	118.33	0.094
107.51	118.32	0.094
107.51	118.31	0.095
107.51	118.30	0.095
107.51	118.29	0.096
107.51	118.29	0.096
107.50	118.33	0.093
107.50	118.34	0.093
107.51	118.33	0.094
107.51	118.32	0.094
107.51	118.31	0.095
107.51	118.30	0.095
107.51	118.29	0.096
107.51	118.29	0.096
107.52	118.28	0.097
107.50	118.33	0.093
107.52	118.28	0.097
107.52	118.26	0.098
107.52	118.26	0.098
107.52	118.25	0.098
107.53	118.24	0.099
107.52	118.27	0.097
107.52	118.27	0.097
107.52	118.26	0.098
107.52	118.25	0.098
107.53	118.24	0.099
107.53	118.23	0.099
107.52	118.26	0.098
107.53	118.23	0.099
107.53	118.22	0.099
107.53	118.21	0.099
107.53	118.20	0.100
107.54	118.19	0.100
107.54	118.19	0.101
107.54	118.18	0.101
107.54	118.17	0.102
107.53	118.23	0.099
107.53	118.23	0.099
107.53	118.21	0.099
107.53	118.20	0.100
107.54	118.19	0.100
107.54	118.19	0.101
107.54	118.18	0.101
107.54	118.17	0.102
107.54	118.16	0.102
107.53	118.22	0.099
107.54	118.16	0.102
107.55	118.15	0.103
107.55	118.14	0.103
107.55	118.13	0.103
107.55	118.12	0.103
107.55	118.11	0.104
107.55	118.11	0.104
107.54	118.16	0.102
107.55	118.15	0.103
107.55	118.14	0.103
107.55	118.13	0.103
107.55	118.12	0.103
107.55	118.11	0.104
107.55	118.11	0.104
107.54	118.16	0.102
107.55	118.10	0.105
107.56	118.08	0.105
107.56	118.07	0.105
107.56	118.07	0.105
107.56	118.06	0.105
107.56	118.05	0.106
107.57	118.04	0.106
107.57	118.03	0.107
107.57	118.03	0.107
107.57	118.02	0.108
107.56	118.09	0.105
107.55	118.10	0.105
107.56	118.08	0.105
107.56	118.07	0.105
107.56	118.07	0.105
107.56	118.06	0.105
107.56	118.05	0.106
107.57	118.04	0.106
107.57	118.03	0.107
107.57	118.03	0.107
107.57	118.02	0.108
107.57	118.01	0.108
107.56	118.09	0.105
107.57	118.01	0.108
107.58	118.00	0.108
107.58	117.99	0.108
107.58	117.98	0.109
107.58	117.97	0.109
107.58	117.96	0.109
107.58	118.00	0.108
107.58	118.00	0.108
107.58	117.99	0.108
107.58	117.98	0.109
107.58	117.97	0.109
107.58	117.96	0.109
107.59	117.96	0.110
107.58	118.00	0.108
107.59	117.96	0.110
107.59	117.94	0.110
107.59	117.93	0.110
107.59	117.92	0.111
107.59	117.91	0.111
107.60	117.91	0.111
107.60	117.90	0.111
107.59	117.95	0.110
107.59	117.95	0.110
107.59	117.93	0.110
107.59	117.92	0.111
107.59	117.91	0.111
107.60	117.91	0.111
107.60	117.90	0.111
107.60	117.89	0.111
107.60	117.88	0.111
107.59	117.94	0.110
107.60	117.89	0.111
107.60	117.87	0.111
107.60	117.87	0.111
107.60	117.86	0.112
107.60	117.88	0.111
107.60	117.87	0.111
107.60	117.86	0.112
107.60	117.87	0.111
107.61	117.85	0.112
107.61	117.83	0.113
107.61	117.83	0.113
107.61	117.82	0.114
107.61	117.81	0.114
107.61	117.84	0.112
107.61	117.85	0.112
107.61	117.83	0.113
107.61	117.83	0.113
107.61	117.82	0.114
107.61	117.81	0.114
107.62	117.80	0.114
107.61	117.84	0.112
107.62	117.80	0.114
107.62	117.79	0.115
107.62	117.78	0.115
107.62	117.77	0.115
107.63	117.76	0.115
107.62	117.79	0.115
107.62	117.79	0.115
107.62	117.78	0.115
107.62	117.77	0.115
107.63	117.76	0.115
107.63	117.76	0.115
107.62	117.79	0.115
107.63	117.76	0.115
107.63	117.74	0.115
107.63	117.73	0.115
107.63	117.72	0.115
107.64	117.71	0.115
107.64	117.71	0.116
107.63	117.75	0.115
107.63	117.75	0.115
107.63	117.73	0.115
107.63	117.72	0.115
107.64	117.71	0.115
107.64	117.71	0.116
107.64	117.70	0.116
107.63	117.74	0.115
107.64	117.70	0.116
107.64	117.68	0.116
107.64	117.67	0.116
107.65	117.67	0.117
107.65	117.66	0.117
107.65	117.65	0.117
107.65	117.64	0.117
107.64	117.69	0.116
107.64	117.69	0.116
107.64	117.67	0.116
107.65	117.67	0.117
107.65	117.66	0.117
107.65	117.65	0.117
107.65	117.64	0.117
107.65	117.63	0.117
107.64	117.68	0.116
107.65	117.63	0.117
107.65	117.62	0.118
107.66	117.61	0.118
107.66	117.60	0.118
107.66	117.59	0.118
107.65	117.63	0.118
107.65	117.63	0.118
107.66	117.61	0.118
107.66	117.60	0.118
107.66	117.59	0.118
107.66	117.58	0.118
107.66	117.58	0.118
107.65	117.62	0.118
107.66	117.58	0.118
107.66	117.57	0.118
107.67	117.56	0.118
107.67	117.55	0.118
107.66	117.58	0.118
107.66	117.57	0.118
107.67	117.55	0.118
107.67	117.54	0.118
107.67	117.53	0.119
107.67	117.53	0.119
107.68	117.52	0.119
107.67	117.56	0.118
107.67	117.54	0.118
107.67	117.53	0.119
107.68	117.52	0.119
107.68	117.51	0.119
107.67	117.53	0.119
107.68	117.50	0.119
107.68	117.49	0.120
107.68	117.48	0.120
107.69	117.47	0.120
107.69	117.46	0.120
107.68	117.49	0.119
107.68	117.51	0.119
107.68	117.49	0.119
107.68	117.49	0.120
107.68	117.48	0.120
107.69	117.47	0.120
107.69	117.46	0.120
107.69	117.45	0.120
107.68	117.50	0.119
107.69	117.45	0.120
107.69	117.44	0.120
107.69	117.43	0.120
107.70	117.42	0.121
107.70	117.41	0.121
107.70	117.40	0.121
107.70	117.40	0.121
107.70	117.39	0.121
107.70	117.38	0.121
107.70	117.37	0.121
107.69	117.45	0.120
107.69	117.45	0.120
107.69	117.43	0.120
107.70	117.42	0.121
107.70	117.41	0.121
107.70	117.40	0.121
107.70	117.40	0.121
107.70	117.39	0.121
107.70	117.38	0.121
107.70	117.37	0.121
107.71	117.36	0.122
107.69	117.44	0.120
107.71	117.36	0.122
107.71	117.35	0.122
107.71	117.34	0.122
107.71	117.33	0.122
107.71	117.32	0.122
107.72	117.31	0.122
107.72	117.31	0.122
107.72	117.30	0.122
107.72	117.29	0.123
107.72	117.28	0.123
107.71	117.36	0.122
107.71	117.35	0.122
107.71	117.34	0.122
107.71	117.33	0.122
107.71	117.32	0.122
107.72	117.31	0.122
107.72	117.31	0.122
107.72	117.30	0.122
107.72	117.29	0.123
107.72	117.28	0.123
107.73	117.27	0.123
107.71	117.36	0.122
107.73	117.27	0.123
107.73	117.26	0.123
107.73	117.25	0.123
107.73	117.24	0.123
107.73	117.23	0.123
107.74	117.23	0.123
107.74	117.22	0.123
107.74	117.21	0.123
107.74	117.20	0.123
107.73	117.27	0.123
107.73	117.27	0.123
107.73	117.25	0.123
107.73	117.24	0.123
107.73	117.23	0.123
107.74	117.23	0.123
107.74	117.22	0.123
107.74	117.21	0.123
107.74	117.20	0.123
107.73	117.26	0.123
107.74	117.19	0.123
107.75	117.18	0.124
107.75	117.17	0.124
107.75	117.16	0.124
107.75	117.15	0.124
107.74	117.18	0.123
107.74	117.19	0.123
107.75	117.18	0.124
107.75	117.17	0.124
107.75	117.16	0.124
107.75	117.15	0.124
107.75	117.14	0.124
107.74	117.18	0.123
107.75	117.14	0.124
107.75	117.13	0.124
107.76	117.12	0.124
107.76	117.11	0.124
107.76	117.10	0.124
107.75	117.14	0.124
107.75	117.14	0.124
107.76	117.12	0.124
107.76	117.11	0.124
107.76	117.10	0.124
107.76	117.09	0.124
107.76	117.09	0.124
107.75	117.13	0.124
107.76	117.09	0.124
107.76	117.08	0.125
107.77	117.07	0.125
107.77	117.06	0.125
107.76	117.09	0.124
107.76	117.08	0.125
107.77	117.06	0.125
107.77	117.05	0.125
107.77	117.04	0.125
107.77	117.04	0.125
107.78	117.03	0.125
107.77	117.07	0.125
107.77	117.05	0.125
107.77	117.04	0.125
107.78	117.03	0.125
107.78	117.02	0.125
107.78	117.01	0.125
107.77	117.04	0.125
107.78	117.02	0.125
107.78	117.01	0.125
107.78	117.00	0.125
107.78	116.99	0.125
107.78	117.01	0.125
107.78	117.01	0.125
107.78	116.99	0.125
107.79	116.98	0.125
107.79	116.97	0.125
107.79	116.96	0.126
107.79	116.96	0.126
107.78	117.00	0.125
107.79	116.98	0.125
107.79	116.96	0.126
107.79	116.96	0.126
107.79	116.95	0.126
107.79	116.97	0.125
107.79	116.95	0.126
107.80	116.93	0.126
107.80	116.92	0.126
107.80	116.91	0.126
107.80	116.91	0.126
107.80	116.90	0.126
107.80	116.89	0.126
107.79	116.94	0.126
107.80	116.93	0.126
107.80	116.92	0.126
107.80	116.91	0.126
107.80	116.91	0.126
107.80	116.90	0.126
107.80	116.89	0.126
107.80	116.88	0.126
107.79	116.94	0.126
107.80	116.88	0.126
107.81	116.87	0.126
107.81	116.86	0.126
107.81	116.85	0.126
107.81	116.84	0.126
107.81	116.83	0.126
107.81	116.87	0.126
107.81	116.87	0.126
107.81	116.86	0.126
107.81	116.85	0.126
107.81	116.84	0.126
107.81	116.83	0.126
107.81	116.87	0.126
107.82	116.82	0.126
107.82	116.81	0.126
107.82	116.80	0.126
107.82	116.79	0.126
107.82	116.81	0.126
107.82	116.82	0.126
107.82	116.81	0.126
107.82	116.80	0.126
107.82	116.79	0.126
107.83	116.78	0.126
107.82	116.81	0.126
107.83	116.78	0.126
107.83	116.77	0.127
107.83	116.76	0.127
107.83	116.75	0.127
107.83	116.74	0.127
107.83	116.77	0.126
107.83	116.77	0.126
107.83	116.76	0.127
107.83	116.75	0.127
107.83	116.74	0.127
107.84	116.73	0.127
107.84	116.72	0.127
107.83	116.77	0.127
107.84	116.73	0.127
107.84	116.72	0.127
107.84	116.71	0.127
107.84	116.70	0.127
107.84	116.72	0.127
107.84	116.72	0.127
107.84	116.70	0.127
107.84	116.69	0.127
107.85	116.68	0.127
107.85	116.68	0.127
107.85	116.67	0.127
107.84	116.71	0.127
107.84	116.69	0.127
107.85	116.68	0.127
107.85	116.67	0.127
107.85	116.66	0.127
107.85	116.65	0.127
107.85	116.64	0.127
107.85	116.68	0.127
107.85	116.65	0.127
107.85	116.64	0.127
107.85	116.63	0.127
107.86	116.62	0.127
107.86	116.62	0.127
107.86	116.61	0.127
107.86	116.60	0.127
107.85	116.66	0.127
107.85	116.63	0.127
107.86	116.62	0.127
107.86	116.61	0.127
107.86	116.60	0.127
107.86	116.59	0.127
107.86	116.58	0.127
107.87	116.57	0.127
107.87	116.57	0.128
107.87	116.56	0.128
107.87	116.55	0.128
107.87	116.54	0.128
107.88	116.53	0.128
107.86	116.62	0.127
107.86	116.59	0.127
107.87	116.57	0.127
107.87	116.57	0.128
107.87	116.56	0.128
107.87	116.55	0.128
107.87	116.54	0.128
107.88	116.53	0.128
107.88	116.53	0.128
107.88	116.52	0.128
107.88	116.51	0.128
107.88	116.50	0.128
107.88	116.49	0.128
107.89	116.48	0.128
107.86	116.58	0.127
107.88	116.53	0.128
107.88	116.51	0.128
107.88	116.50	0.128
107.88	116.49	0.128
107.89	116.48	0.128
107.89	116.48	0.128
107.89	116.47	0.128
107.89	116.46	0.128
107.88	116.52	0.128
107.89	116.47	0.128
107.89	116.46	0.128
107.89	116.45	0.128
107.89	116.45	0.128
107.90	116.44	0.128
107.89	116.48	0.128
107.89	116.45	0.128
107.90	116.44	0.128
107.90	116.43	0.128
107.90	116.42	0.128
107.90	116.41	0.128
107.89	116.45	0.128
107.90	116.43	0.128
107.90	116.41	0.128
107.90	116.40	0.128
107.90	116.39	0.128
107.90	116.39	0.128
107.90	116.42	0.128
107.90	116.40	0.128
107.90	116.39	0.128
107.91	116.38	0.128
107.91	116.37	0.128
107.90	116.39	0.128
107.91	116.36	0.128
107.91	116.34	0.128
107.91	116.34	0.128
