"","print_type","material","fcomp_additive_wt_pct","fcomp_salt_wt_pct","ionic_conductivity_final"
"485","PCB print","LiTFSI",4.3,20,4.27807486631016e-06
"486","PCB print","LiTFSI",4.3,20,4.3956043956044e-06
"487","PCB print","LiTFSI",4.3,20,5.98802395209581e-06
"488","PCB print","LiTFSI",4.3,20,4.69483568075117e-06
"489","PCB print","LiTFSI",6.4,20,4.94437577255872e-06
"490","PCB print","LiTFSI",6.4,20,4.44938820912125e-06
"491","PCB print","LiTFSI",6.4,20,6.19195046439629e-06
"492","PCB print","LiTFSI",6.4,20,5.32623169107856e-06
"493","PCB print","LiTFSI",8.6,20,6.7001675041876e-06
"494","PCB print","LiTFSI",8.6,20,4.37636761487965e-06
"495","PCB print","LiTFSI",8.6,20,7.01754385964912e-06
"496","PCB print","LiTFSI",8.6,20,6.65557404326123e-06
"497","PCB print","LiTFSI",11,20,4.92610837438424e-06
"498","PCB print","LiTFSI",11,20,4.23280423280423e-06
"499","PCB print","LiTFSI",11,20,5.83941605839416e-06
"500","PCB print","LiTFSI",11,20,4.44938820912125e-06
"501","PCB print","LiTFSI",13,20,4.48430493273543e-06
"502","PCB print","LiTFSI",13,20,3.96039603960396e-06
"503","PCB print","LiTFSI",13,20,5.48696844993141e-06
"504","PCB print","LiTFSI",13,20,5.10204081632653e-06
"505","PCB print","LiTFSI",15,20,4.84261501210654e-06
"506","PCB print","LiTFSI",15,20,3.84615384615385e-06
"507","PCB print","LiTFSI",15,20,5.63380281690141e-06
"508","PCB print","LiTFSI",15,20,3.63636363636364e-06
"509","PCB print","LiTFSI",0,20,3.2520325203252e-06
"510","PCB print","LiTFSI",2.1,20,5.75539568345324e-06
"511","PCB print","LiTFSI",2.1,20,4.96894409937888e-06
"512","PCB print","LiTFSI",4.3,20,9.0293453724605e-06
"513","PCB print","LiTFSI",6.4,20,1.58102766798419e-05
"514","PCB print","LiTFSI",6.4,20,1.31147540983607e-05
"515","PCB print","LiTFSI",8.6,20,5.61009817671809e-06
"516","PCB print","LiTFSI",8.6,20,5.16795865633075e-06
"517","PCB print","LiTFSI",11,20,8.65800865800866e-06
"518","PCB print","LiTFSI",13,20,9.47867298578199e-06
"519","PCB print","LiTFSI",13,20,8.13008130081301e-06
"520","PCB print","LiTFSI",15,20,1.11731843575419e-05
"521","PCB print","LiTFSI",0,20,2.17391304347826e-06
"522","PCB print","LiTFSI",0,20,2.7972027972028e-06
"523","PCB print","LiTFSI",0,20,3.96039603960396e-06
"524","PCB print","LiTFSI",0,20,1.86046511627907e-06
"525","PCB print","LiTFSI",2.1,20,2.51572327044025e-06
"526","PCB print","LiTFSI",2.1,20,3.125e-06
"527","PCB print","LiTFSI",2.1,20,4.34782608695652e-06
"528","PCB print","LiTFSI",2.1,20,2.61437908496732e-06
"529","PCB print","LiTFSI",4.3,20,2.35294117647059e-06
"530","PCB print","LiTFSI",4.3,20,3.07692307692308e-06
"531","PCB print","LiTFSI",4.3,20,4.05679513184584e-06
"532","PCB print","LiTFSI",6.4,20,2.77777777777778e-06
"533","PCB print","LiTFSI",6.4,20,2.91970802919708e-06
"534","PCB print","LiTFSI",6.4,20,3.77358490566038e-06
"535","PCB print","LiTFSI",8.6,20,3.00751879699248e-06
"536","PCB print","LiTFSI",8.6,20,3.96039603960396e-06
"537","PCB print","LiTFSI",8.6,20,4.38116100766703e-06
"538","PCB print","LiTFSI",11,20,2.77777777777778e-06
"539","PCB print","LiTFSI",11,20,3.63636363636364e-06
"540","PCB print","LiTFSI",11,20,5.15463917525773e-06
"541","PCB print","LiTFSI",13,20,2.77777777777778e-06
"542","PCB print","LiTFSI",13,20,2.83687943262411e-06
"543","PCB print","LiTFSI",13,20,3.88349514563107e-06
"544","PCB print","LiTFSI",13,20,4.47928331466965e-06
"545","PCB print","LiTFSI",15,20,2.39520958083832e-06
"546","PCB print","LiTFSI",15,20,2.96296296296296e-06
"547","PCB print","LiTFSI",15,20,3.73831775700935e-06
"548","PCB print","LiTFSI",15,20,4.99375780274657e-06
"549","PCB print","LiTFSI",15,10,3.1496062992126e-05
"550","PCB print","LiTFSI",15,10,1.6597510373444e-05
"551","PCB print","LiTFSI",15,10,2.05128205128205e-05
"552","PCB print","LiTFSI",15,10,1.0230179028133e-05
"553","PCB print","LiTFSI",13,10,0.0001081081081081
"554","PCB print","LiTFSI",13,10,5.77200577200577e-05
"555","PCB print","LiTFSI",13,10,0.00011049723756906
"556","PCB print","LiTFSI",13,10,0.00016460905349794
"557","PCB print","LiTFSI",11,10,2.33918128654971e-05
"558","PCB print","LiTFSI",11,10,1e-05
"559","PCB print","LiTFSI",11,10,8.38574423480084e-06
"560","PCB print","LiTFSI",11,10,3.80952380952381e-05
"561","PCB print","LiTFSI",8.6,10,1.74672489082969e-05
"562","PCB print","LiTFSI",8.6,10,1.35593220338983e-05
"563","PCB print","LiTFSI",8.6,10,1.9047619047619e-05
"564","PCB print","LiTFSI",8.6,10,1.46520146520147e-05
"565","PCB print","LiTFSI",6.4,10,1.13636363636364e-05
"566","PCB print","LiTFSI",6.4,10,9.66183574879227e-06
"567","PCB print","LiTFSI",6.4,10,7.63358778625954e-06
"568","PCB print","LiTFSI",6.4,10,8.31600831600832e-06
"569","PCB print","LiTFSI",4.3,10,2.17391304347826e-05
"570","PCB print","LiTFSI",4.3,10,1.33333333333333e-05
"571","PCB print","LiTFSI",4.3,10,7.15563506261181e-06
"572","PCB print","LiTFSI",4.3,10,2.7027027027027e-05
"573","PCB print","LiTFSI",2.1,10,6.86106346483705e-06
"574","PCB print","LiTFSI",2.1,10,5.20833333333333e-06
"575","PCB print","LiTFSI",2.1,10,5.54016620498615e-06
"576","PCB print","LiTFSI",2.1,10,1.19047619047619e-05
"577","PCB print","LiTFSI",13,10,7.32600732600733e-05
"578","PCB print","LiTFSI",13,10,5.14800514800515e-05
"579","PCB print","LiTFSI",13,10,5.56328233657858e-05
"580","PCB print","LiTFSI",13,10,3.2e-05
"581","PCB print","LiTFSI",11,10,7.92079207920792e-06
"582","PCB print","LiTFSI",11,10,4.48430493273543e-06
"583","PCB print","LiTFSI",11,10,5.78034682080925e-06
"584","PCB print","LiTFSI",8.6,10,3.88349514563107e-05
"585","PCB print","LiTFSI",8.6,10,3.84615384615385e-05
"586","PCB print","LiTFSI",8.6,10,4.94437577255872e-05
"587","PCB print","LiTFSI",8.6,10,7.54716981132076e-05
"588","PCB print","LiTFSI",6.4,10,1.81818181818182e-05
"589","PCB print","LiTFSI",6.4,10,1.67364016736402e-05
"590","PCB print","LiTFSI",6.4,10,2.20994475138122e-05
"591","PCB print","LiTFSI",6.4,10,2e-05
"592","PCB print","LiTFSI",4.3,10,6.73400673400673e-06
"593","PCB print","LiTFSI",2.1,10,7.10479573712256e-06
"594","PCB print","LiTFSI",2.1,10,7.2202166064982e-06
"595","PCB print","LiTFSI",2.1,10,8.40336134453782e-06
"596","PCB print","LiTFSI",2.1,10,1.0443864229765e-05
"597","PCB print","LiTFSI",0,10,4.15800415800416e-06
"598","PCB print","LiTFSI",0,10,1.02040816326531e-05
"599","PCB print","LiTFSI",0,10,1.06100795755968e-05
"600","PCB print","LiTFSI",0,10,1.36986301369863e-05
"601","PCB print","LiTFSI",15,10,1.29449838187702e-05
"602","PCB print","LiTFSI",15,10,4.81347773766546e-05
"603","PCB print","LiTFSI",15,10,4.95049504950495e-05
"604","PCB print","LiTFSI",15,10,3.36134453781513e-05
"605","PCB print","LiTFSI",13,10,3.63636363636364e-05
"606","PCB print","LiTFSI",13,10,1.98019801980198e-05
"607","PCB print","LiTFSI",13,10,3.57142857142857e-05
"608","PCB print","LiTFSI",13,10,2.73972602739726e-05
"609","PCB print","LiTFSI",4.3,10,4.79616306954436e-06
"610","PCB print","LiTFSI",4.3,10,4.44938820912125e-06
"611","PCB print","LiTFSI",4.3,10,2.32558139534884e-06
"612","PCB print","LiTFSI",4.3,10,4.22386483632524e-06
"613","PCB print","LiTFSI",2.1,10,1.52671755725191e-05
"614","PCB print","LiTFSI",2.1,10,4.6242774566474e-05
"615","PCB print","LiTFSI",2.1,10,2.8169014084507e-05
"616","PCB print","LiTFSI",0,10,2.7972027972028e-06
"617","PCB print","LiTFSI",0,10,3.17460317460317e-06
"618","PCB print","LiTFSI",0,10,4.28265524625268e-06
"619","PCB print","LiTFSI",0,10,2.8169014084507e-06
"620","PCB print","LiTFSI",4.3,10,2.17391304347826e-06
"621","PCB print","LiTFSI",4.3,10,1.56862745098039e-06
"622","PCB print","LiTFSI",4.3,10,1.5625e-05
"623","PCB print","LiTFSI",4.3,10,1.33779264214047e-05
