True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,THD_I,NSD_I,NSR_I,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
20,20,3206.0295,14827.791,4563.493,15514.15,-17.106596,19.372675320177223,-0.17114973,-8.606259e-06,0.010878154,0.0009412262,1.0,41,0.020300478,1.3085137e-06,0,-1.414346197987268e-07,0.14978296,0.1297982,1.5561266,6.7805554e-06,1.8583303e-05,4.670086e-06,1.6582238e-05,8.534589e-06,9.80581e-06,0.16763975,0.14819363,1.6308409,7.285561e-10,1.2890792e-09,6.7700284e-10,1.285844e-09,5.3234545e-10,4.1240994e-10,1.0
21,21,2182.901,15562.256,5767.531,16596.633,-20.33522,20.116961595515022,-0.17115003,-7.925591e-06,0.01264143,0.001526638,1.0,41,0.020288607,1.2224532e-06,0,-1.4423782535151176e-07,0.15766408,0.11104311,1.5670102,7.5875887e-06,2.125591e-05,6.7799274e-06,1.8990379e-05,6.3454363e-06,6.7597452e-06,0.16210744,0.075609684,1.7553957,5.398429e-10,9.498023e-10,4.720938e-10,1.5183166e-09,2.2553265e-10,3.1426442e-10,1.0
22,22,1486.4281,16556.107,7348.324,18113.602,-23.93374,20.858571924007265,-0.1711558,-7.787591e-06,0.014570952,0.0023980318,1.0,41,0.020278692,1.1195284e-06,0,-1.4487263931556526e-07,0.1477507,0.03493379,1.5780972,5.810349e-06,1.5346626e-05,6.2164886e-06,2.0126467e-05,7.485595e-06,8.560963e-06,0.16839728,0.10614423,1.9338831,2.8760336e-10,7.7563445e-10,2.6198216e-10,1.4577269e-09,4.002428e-10,4.7320087e-10,1.0
23,23,1012.2657,17956.29,9516.074,20322.008,-27.921698,21.60128809264279,-0.17114662,-8.4346975e-06,0.016522197,0.0036228488,1.0,41,0.02026714,9.973e-07,0,-1.4640349181454187e-07,0.16957235,0.08374548,1.5600477,3.0778644e-06,2.1125707e-05,4.648454e-06,2.43162e-05,3.984115e-06,9.628592e-06,0.2336451,0.090602,2.1878707,7.4107187e-10,1.410912e-09,4.3488987e-10,1.4385912e-09,3.3415765e-10,5.308399e-10,1.0
24,24,688.8978,19971.658,12308.195,23459.727,-31.644827,22.34606871471624,-0.17113253,-8.490647e-06,0.018770289,0.0051667066,1.0,41,0.020257257,8.6349075e-07,0,-1.4759692835334842e-07,0.16684632,0.04662547,1.5509247,4.5450633e-06,2.0448135e-05,9.867112e-06,2.0640357e-05,1.1426822e-05,5.660089e-06,0.17150743,0.18814844,2.4773767,4.0305928e-10,9.489868e-10,4.981957e-10,8.133424e-10,1.0870906e-10,3.142116e-10,1.0
25,25,468.94922,22755.598,15068.811,27292.605,-33.51262,23.091205336764688,-0.17113304,-7.808122e-06,0.022522435,0.0068656756,1.0,41,0.020249486,7.4194037e-07,0,-1.4934888665032355e-07,0.1491666,0.034496784,1.5781661,5.163397e-06,2.1719614e-05,2.616433e-06,1.7546778e-05,4.017942e-06,7.05283e-06,0.28781518,0.31495133,2.9373796,5.8594757e-10,1.3809521e-09,6.0513017e-10,1.2384178e-09,2.8319794e-10,4.415135e-10,1.0
26,26,319.28494,26853.201,18703.547,32724.87,-34.85763,24.08918815749348,-0.17112929,-1.0143276e-06,0.02665126,0.008705823,1.0,42,0.02030603,6.205076e-07,0,-1.4959785936883918e-07,0.13350002,0.044055615,1.5666102,3.6578003e-06,1.8305123e-05,4.0985337e-06,1.7608269e-05,1.2704139e-06,6.78453e-06,0.22699279,0.90304554,0.78904206,3.4377134e-10,9.486232e-10,5.438204e-11,9.689206e-10,9.720232e-11,9.382377e-11,1.0
27,27,217.43552,33251.164,25227.893,41738.31,-37.18785,24.829510112671414,-0.17113866,-1.0781106e-06,0.029014071,0.01059988,1.0,42,0.020278197,4.858414e-07,0,-1.5017108033810525e-07,0.1709237,0.028893212,1.5460314,6.8590352e-06,2.481943e-05,4.484748e-06,1.6807497e-05,8.950972e-06,9.583455e-06,0.24424136,0.54164416,0.7940077,3.454129e-10,7.8536494e-10,6.821259e-11,7.885155e-10,8.584719e-11,8.964895e-11,1.0
28,28,148.05719,40085.93,26827.648,48234.887,-33.792557,25.579381268267753,-0.17112537,-1.0833324e-06,0.040068958,0.012395119,1.0,42,0.020255798,4.1994085e-07,0,-1.500650239665491e-07,0.12984371,0.041327998,1.5563112,5.729432e-06,1.8479643e-05,5.344808e-06,1.2813196e-05,6.080729e-06,5.4993525e-06,0.24707505,0.78224,1.1474233,2.403901e-10,6.721599e-10,1.181522e-10,7.2629897e-10,7.8801535e-11,6.517454e-11,1.0
29,29,100.80636,49033.22,30704.53,57853.477,-32.054737,26.319164263404673,-0.17114624,-1.221713e-06,0.051419728,0.014483574,1.0,42,0.020241434,3.498741e-07,0,-1.5055359671459376e-07,0.15586257,0.061265074,1.5597045,8.225074e-06,1.8781027e-05,8.31147e-06,2.0238609e-05,6.6283187e-06,6.812403e-06,0.2773542,0.6507306,1.2408187,2.990873e-10,7.27534e-10,1.2223435e-10,5.069365e-10,1.321684e-10,1.6249965e-10,1.0
