Filename	10172024_PEGDA_PEGMEA_0_Aerosil380_20_LITFSI-1
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA no aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature
min	MPa	%	°C
6.99	0.270224	45.3031	30.42
7.01	0.271284	45.4101	30.42
7.03	0.271878	45.5172	30.42
7.04	0.272261	45.6239	30.43
7.06	0.272969	45.7307	30.43
7.08	0.274039	45.8375	30.43
7.09	0.274913	45.9445	30.43
7.11	0.276144	46.0511	30.43
7.13	0.277296	46.1579	30.43
7.14	0.278483	46.2648	30.43
7.16	0.279838	46.3716	30.43
7.18	0.281152	46.4784	30.43
7.19	0.282309	46.5854	30.43
7.21	0.283221	46.6923	30.43
7.23	0.284305	46.7991	30.44
7.24	0.285457	46.9061	30.44
7.26	0.286785	47.0125	30.44
7.28	0.288614	47.1192	30.44
7.29	0.290442	47.2261	30.44
7.31	0.292456	47.3329	30.44
7.33	0.294429	47.4400	30.44
7.34	0.296256	47.5466	30.44
7.36	0.298275	47.6534	30.45
7.38	0.300512	47.7602	30.45
7.39	0.302643	47.8672	30.45
7.41	0.304766	47.9741	30.45
7.43	0.306920	48.0808	30.45
7.44	0.309130	48.1875	30.45
7.46	0.311474	48.2945	30.45
7.48	0.313870	48.4014	30.45
7.49	0.316266	48.5080	30.45
7.51	0.318474	48.6150	30.45
7.53	0.320945	48.7219	30.46
7.54	0.323204	48.8288	30.46
7.56	0.325642	48.9357	30.46
7.58	0.328016	49.0425	30.46
7.59	0.330608	49.1492	30.46
7.61	0.332753	49.2563	30.46
7.63	0.335009	49.3632	30.46
7.64	0.336859	49.4705	30.46
7.66	0.338075	49.5774	30.46
7.68	0.339431	49.6842	30.47
7.69	0.341231	49.7907	30.47
7.71	0.343160	49.8978	30.47
7.73	0.344662	50.0047	30.47
7.74	0.346476	50.1113	30.47
7.76	0.342015	50.2243	30.47
7.78	0.336826	50.3272	30.47
7.79	0.336366	50.4327	30.47
7.81	0.336168	50.5398	30.47
7.83	0.337310	50.6460	30.47
7.84	0.338663	50.7528	30.48
7.86	0.339297	50.8609	30.48
7.88	0.337802	50.9679	30.48
7.89	0.338167	51.0736	30.48
7.91	0.339417	51.1802	30.48
7.93	0.341238	51.2868	30.48
7.94	0.341975	51.3950	30.48
7.96	0.341607	51.5015	30.49
7.98	0.342140	51.6081	30.49
7.99	0.343377	51.7144	30.49
8.01	0.344699	51.8219	30.49
8.03	0.344268	51.9292	30.49
8.04	0.345156	52.0350	30.49
8.06	0.346986	52.1419	30.49
8.08	0.348275	52.2487	30.49
8.09	0.350036	52.3555	30.49
8.11	0.350995	52.4633	30.49
8.13	0.351210	52.5700	30.50
8.14	0.351922	52.6766	30.50
8.16	0.353120	52.7834	30.50
8.18	0.353985	52.8903	30.50
8.19	0.354557	53.0003	30.50
8.21	0.345538	53.1074	30.50
8.23	0.343948	53.2118	30.50
8.24	0.343875	53.3178	30.50
8.26	0.344925	53.4252	30.50
8.28	0.339630	53.5373	30.51
8.29	0.332898	53.6400	30.51
8.31	0.330531	53.7470	30.51
8.33	0.330121	53.8522	30.51
8.34	0.330850	53.9589	30.51
8.36	0.331876	54.0655	30.51
8.38	0.332733	54.1728	30.51
8.39	0.333096	54.2799	30.51
8.41	0.333863	54.3860	30.51
8.43	0.335069	54.4932	30.52
8.44	0.335976	54.6000	30.52
8.46	0.336380	54.7069	30.52
8.48	0.337260	54.8137	30.52
8.49	0.338186	54.9210	30.52
8.51	0.338179	55.0284	30.52
8.53	0.338156	55.1344	30.52
8.54	0.339211	55.2412	30.52
8.56	0.340529	55.3478	30.52
8.58	0.341861	55.4548	30.53
8.59	0.343515	55.5614	30.53
8.61	0.344927	55.6685	30.53
8.63	0.346528	55.7750	30.53
8.64	0.348286	55.8819	30.53
8.66	0.349831	55.9891	30.53
8.68	0.350691	56.0964	30.53
8.69	0.351627	56.2029	30.53
8.71	0.350730	56.3117	30.54
8.73	0.350315	56.4164	30.54
8.74	0.351963	56.5231	30.54
8.76	0.353809	56.6299	30.54
8.78	0.355632	56.7370	30.54
8.79	0.357311	56.8437	30.54
8.81	0.359098	56.9506	30.54
8.83	0.360967	57.0572	30.54
8.84	0.363107	57.1640	30.54
8.86	0.365373	57.2707	30.55
8.88	0.367622	57.3778	30.55
8.89	0.370019	57.4846	30.55
8.91	0.371174	57.5923	30.55
8.93	0.372750	57.6983	30.55
8.94	0.374985	57.8051	30.55
8.96	0.377161	57.9121	30.55
8.98	0.379470	58.0188	30.55
8.99	0.381818	58.1260	30.55
9.01	0.382823	58.2331	30.56
9.03	0.384728	58.3397	30.56
9.04	0.386431	58.4469	30.56
9.06	0.387900	58.5535	30.56
9.08	0.389914	58.6603	30.56
9.09	0.391714	58.7670	30.56
9.11	0.393437	58.8741	30.56
9.13	0.395756	58.9805	30.56
9.14	0.398214	59.0875	30.57
