Filename	10172024_PEGDA_PEGMEA_6,42_Aerosil380_20_LITFSI-b
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA 6p42 aer380 20percent LITFSI-b
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Force	Displacement
min	MPa	%	°C	N	µm
2.61	0.232932	20.4686	31.25	8.87238	260.633
2.63	0.236733	20.5994	31.25	9.01714	262.298
2.64	0.240620	20.7303	31.25	9.16523	263.965
2.66	0.244533	20.8612	31.25	9.31426	265.632
2.68	0.248534	20.9919	31.25	9.46667	267.296
2.69	0.252583	21.1228	31.25	9.62087	268.962
2.71	0.256704	21.2534	31.25	9.77785	270.626
2.73	0.260860	21.3844	31.25	9.93615	272.294
2.74	0.265076	21.5152	31.25	10.0967	273.959
2.76	0.269377	21.6460	31.25	10.2606	275.625
2.78	0.273721	21.7768	31.25	10.4260	277.291
2.79	0.278165	21.9077	31.25	10.5953	278.957
2.81	0.282642	22.0385	31.25	10.7658	280.623
2.83	0.287197	22.1693	31.26	10.9393	282.289
2.84	0.291824	22.3002	31.26	11.1156	283.955
2.86	0.296546	22.4309	31.26	11.2954	285.619
2.88	0.301347	22.5618	31.26	11.4783	287.286
2.89	0.306215	22.6925	31.26	11.6637	288.950
2.91	0.311187	22.8234	31.26	11.8531	290.617
2.93	0.316200	22.9542	31.26	12.0441	292.283
2.94	0.321336	23.0850	31.26	12.2397	293.948
2.96	0.326505	23.2158	31.26	12.4366	295.614
2.98	0.331800	23.3466	31.26	12.6383	297.279
2.99	0.337167	23.4774	31.26	12.8427	298.945
3.01	0.342635	23.6082	31.26	13.0510	300.610
3.03	0.348184	23.7391	31.26	13.2623	302.277
3.04	0.353819	23.8698	31.27	13.4770	303.941
3.06	0.359578	24.0007	31.27	13.6963	305.608
3.08	0.365419	24.1314	31.27	13.9188	307.272
3.09	0.371396	24.2622	31.27	14.1465	308.938
3.11	0.377421	24.3930	31.27	14.3760	310.603
3.13	0.383587	24.5238	31.27	14.6108	312.269
3.14	0.389805	24.6546	31.27	14.8477	313.934
3.16	0.396123	24.7855	31.27	15.0883	315.601
3.18	0.402476	24.9162	31.27	15.3303	317.266
