Filename	10172024_PEGDA_PEGMEA_6,42_Aerosil380_20_LITFSI-a
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA 6p42 aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Displacement	Force
min	MPa	%	°C	µm	N
2.56	0.0999800	18.4851	30.36	261.895	3.59365
2.58	0.101878	18.6027	30.36	263.561	3.66186
2.59	0.103811	18.7203	30.37	265.227	3.73134
2.61	0.105766	18.8380	30.37	266.895	3.80162
2.63	0.107752	18.9556	30.36	268.561	3.87300
2.64	0.109763	19.0731	30.37	270.225	3.94528
2.66	0.111789	19.1907	30.36	271.892	4.01813
2.68	0.113855	19.3083	30.37	273.558	4.09236
2.69	0.115933	19.4259	30.37	275.224	4.16705
2.71	0.118048	19.5435	30.37	276.891	4.24307
2.73	0.120173	19.6612	30.37	278.558	4.31947
2.74	0.122329	19.7788	30.37	280.224	4.39695
2.76	0.124513	19.8964	30.37	281.890	4.47544
2.78	0.126715	20.0139	30.37	283.555	4.55461
2.79	0.128961	20.1315	30.37	285.221	4.63533
2.81	0.131213	20.2492	30.37	286.889	4.71627
2.83	0.133505	20.3668	30.37	288.555	4.79865
2.84	0.135814	20.4844	30.37	290.221	4.88166
2.86	0.138158	20.6020	30.37	291.887	4.96590
2.88	0.140526	20.7195	30.37	293.552	5.05103
2.89	0.142911	20.8372	30.37	295.219	5.13673
2.91	0.145326	20.9548	30.37	296.885	5.22356
2.93	0.147689	21.0724	30.37	298.551	5.30850
2.94	0.150159	21.1900	30.37	300.218	5.39727
2.96	0.152654	21.3076	30.37	301.884	5.48695
2.98	0.155186	21.4252	30.37	303.550	5.57794
2.99	0.157751	21.5428	30.37	305.216	5.67016
3.01	0.160328	21.6604	30.37	306.882	5.76277
3.03	0.162962	21.7780	30.37	308.549	5.85746
3.04	0.165609	21.8956	30.37	310.215	5.95261
3.06	0.168203	22.0133	30.37	311.882	6.04583
3.08	0.170874	22.1309	30.37	313.548	6.14185
3.09	0.173619	22.2484	30.37	315.213	6.24050
3.11	0.176404	22.3660	30.38	316.879	6.34062
3.13	0.179219	22.4836	30.38	318.546	6.44180
3.14	0.182083	22.6012	30.38	320.212	6.54475
3.16	0.184931	22.7189	30.38	321.878	6.64712
3.18	0.187872	22.8363	30.38	323.542	6.75280
3.19	0.190854	22.9539	30.38	325.209	6.86001
3.21	0.193890	23.0716	30.38	326.876	6.96913
3.23	0.196955	23.1892	30.38	328.542	7.07929
3.24	0.200060	23.3067	30.38	330.207	7.19089
3.26	0.203209	23.4244	30.38	331.874	7.30408
3.28	0.206311	23.5420	30.38	333.540	7.41557
3.29	0.209492	23.6596	30.38	335.207	7.52991
3.31	0.212701	23.7772	30.38	336.872	7.64524
3.33	0.215983	23.8948	30.38	338.538	7.76322
3.34	0.219302	24.0124	30.38	340.205	7.88252
3.36	0.222660	24.1300	30.38	341.871	8.00322
3.38	0.226064	24.2476	30.38	343.537	8.12558
