Filename	10172024_PEGDA_PEGMEA_15_Aerosil380_20_LITFSI
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA 15p aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Force	Displacement
min	MPa	%	°C	N	µm
3.59	0.406370	20.8156	29.99	13.0475	365.587
3.61	0.411550	20.9102	29.99	13.2138	367.249
3.63	0.417104	21.0051	29.99	13.3921	368.914
3.64	0.422789	21.0999	29.99	13.5746	370.580
3.66	0.428489	21.1948	29.99	13.7576	372.246
3.68	0.434173	21.2899	29.99	13.9401	373.916
3.69	0.439694	21.3845	29.99	14.1174	375.579
3.71	0.445561	21.4793	29.99	14.3058	377.244
3.73	0.451513	21.5742	29.99	14.4969	378.911
3.74	0.457501	21.6691	29.99	14.6891	380.576
3.76	0.463610	21.7639	29.99	14.8853	382.242
3.78	0.469707	21.8588	29.99	15.0811	383.908
3.79	0.475912	21.9536	29.99	15.2803	385.573
3.81	0.482149	22.0485	29.99	15.4805	387.240
3.83	0.488438	22.1434	29.99	15.6825	388.906
3.84	0.494743	22.2383	29.99	15.8849	390.573
3.86	0.500937	22.3330	29.99	16.0838	392.237
3.88	0.507362	22.4280	29.99	16.2900	393.905
3.89	0.513768	22.5228	29.99	16.4957	395.570
3.91	0.520340	22.6176	29.99	16.7067	397.235
3.93	0.526957	22.7125	29.99	16.9192	398.901
3.94	0.533582	22.8074	29.99	17.1319	400.569
3.96	0.540190	22.9023	29.99	17.3441	402.235
3.98	0.546962	22.9971	29.99	17.5615	403.899
3.99	0.553696	23.0921	29.99	17.7777	405.568
4.01	0.560221	23.1870	29.99	17.9872	407.235
4.03	0.567035	23.2817	29.99	18.2060	408.899
4.04	0.573960	23.3765	30.00	18.4283	410.563
4.06	0.580984	23.4714	29.99	18.6539	412.230
4.08	0.588016	23.5662	30.00	18.8796	413.895
4.09	0.595195	23.6611	30.00	19.1101	415.562
4.11	0.602321	23.7559	30.00	19.3389	417.228
4.13	0.609403	23.8511	30.00	19.5663	418.900
4.14	0.611873	23.9485	30.00	19.6456	420.609
4.16	0.616640	24.0409	30.00	19.7987	422.233
4.18	0.623012	24.1357	30.00	20.0033	423.899
4.19	0.624730	24.2310	30.00	20.0584	425.572
4.21	0.624729	24.3258	30.00	20.0584	427.236
4.23	0.612004	24.4380	30.00	19.6498	429.208
4.24	0.609364	24.5160	30.00	19.5651	430.577
4.26	0.615940	24.6100	30.00	19.7762	432.227
4.28	0.622969	24.7046	30.00	20.0019	433.889
4.29	0.624726	24.7998	30.00	20.0583	435.562
4.31	0.624726	24.8945	30.00	20.0583	437.225
4.33	0.624725	24.9894	30.00	20.0583	438.891
4.34	0.624725	25.0630	30.00	20.0583	440.184
4.36	0.624725	25.0836	30.00	20.0583	440.546
4.38	0.624725	25.0991	30.00	20.0583	440.817
4.39	0.624725	25.1134	30.00	20.0583	441.068
4.41	0.624725	25.1249	30.00	20.0583	441.272
4.43	0.624725	25.1349	30.00	20.0583	441.446
4.44	0.624724	25.1438	30.00	20.0582	441.603
4.46	0.624724	25.1521	30.00	20.0582	441.750
4.48	0.624724	25.1593	30.00	20.0582	441.876
4.49	0.624724	25.1680	30.00	20.0582	442.029
4.51	0.624724	25.1757	30.00	20.0582	442.163
4.53	0.624724	25.1820	30.00	20.0582	442.274
4.54	0.624724	25.1883	30.00	20.0582	442.384
4.56	0.624724	25.1947	30.00	20.0582	442.497
4.58	0.624724	25.2003	30.00	20.0582	442.595
4.59	0.624724	25.2058	30.00	20.0582	442.692
4.61	0.624724	25.2107	30.00	20.0582	442.779
4.63	0.624724	25.2157	30.00	20.0582	442.867
4.64	0.624724	25.2204	30.00	20.0582	442.948
4.66	0.624724	25.2270	30.00	20.0582	443.065
4.68	0.624724	25.2408	30.01	20.0582	443.308
