Filename	10172024_PEGDA_PEGMEA_0_Aerosil380_20_LITFSI-b
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA no aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Force	Displacement
min	MPa	%	°C	N	µm
3.41	4.42858e-4	15.0711	30.02	0.0588794	227.459
3.43	4.50926e-4	15.1386	30.02	0.0599520	228.477
3.44	4.59082e-4	15.2060	30.02	0.0610364	229.494
3.46	4.67970e-4	15.2734	30.01	0.0622182	230.511
3.48	4.76636e-4	15.3408	30.01	0.0633704	231.529
3.49	4.87402e-4	15.4082	30.01	0.0648017	232.546
3.51	4.97627e-4	15.4756	30.01	0.0661611	233.563
3.53	5.08158e-4	15.5429	30.01	0.0675613	234.579
3.54	5.19243e-4	15.6103	30.01	0.0690350	235.597
3.56	5.30836e-4	15.6778	30.01	0.0705763	236.614
3.58	5.44060e-4	15.7451	30.01	0.0723346	237.631
3.59	5.57197e-4	15.8125	30.01	0.0740812	238.648
3.61	5.70376e-4	15.8799	30.01	0.0758334	239.666
3.63	5.84075e-4	15.9473	30.01	0.0776546	240.683
3.64	5.98890e-4	16.0147	30.01	0.0796244	241.700
3.66	6.15606e-4	16.0822	30.01	0.0818469	242.718
3.68	6.31407e-4	16.1495	30.01	0.0839476	243.735
3.69	6.48239e-4	16.2169	30.00	0.0861855	244.752
3.71	6.65588e-4	16.2843	30.00	0.0884921	245.769
3.73	6.83646e-4	16.3517	30.00	0.0908929	246.786
3.74	7.02911e-4	16.4191	30.00	0.0934543	247.804
3.76	7.21416e-4	16.4865	30.00	0.0959146	248.821
3.78	7.40251e-4	16.5538	30.00	0.0984188	249.836
3.79	7.59629e-4	16.6213	30.00	0.100995	250.854
3.81	7.79614e-4	16.6887	30.00	0.103652	251.872
3.83	8.01746e-4	16.7560	30.00	0.106595	252.887
3.84	8.23589e-4	16.8234	30.00	0.109499	253.905
3.86	8.45519e-4	16.8908	30.00	0.112414	254.922
3.88	8.67882e-4	16.9583	30.00	0.115388	255.941
3.89	8.91357e-4	17.0255	30.00	0.118509	256.956
3.91	9.16125e-4	17.0929	30.00	0.121802	257.973
3.93	9.40498e-4	17.1605	30.00	0.125042	258.992
3.94	9.65175e-4	17.2279	30.00	0.128323	260.010
3.96	9.90451e-4	17.2952	30.00	0.131684	261.026
3.98	1.01645e-3	17.3629	30.00	0.135140	262.047
3.99	1.04404e-3	17.4300	30.00	0.138808	263.061
4.01	1.07152e-3	17.4975	30.00	0.142462	264.079
4.03	1.09937e-3	17.5649	30.00	0.146165	265.096
4.04	1.12763e-3	17.6324	30.00	0.149922	266.115
4.06	1.15678e-3	17.6997	29.99	0.153798	267.130
4.08	1.18759e-3	17.7671	29.99	0.157895	268.148
4.09	1.21867e-3	17.8345	29.99	0.162026	269.164
4.11	1.25008e-3	17.9018	30.00	0.166202	270.181
4.13	1.28214e-3	17.9692	29.99	0.170465	271.198
4.14	1.31533e-3	18.0367	29.99	0.174878	272.216
4.16	1.35067e-3	18.1042	30.00	0.179576	273.235
4.18	1.38578e-3	18.1714	29.99	0.184244	274.249
4.19	1.42070e-3	18.2388	29.99	0.188887	275.267
4.21	1.45685e-3	18.3063	29.99	0.193693	276.285
4.23	1.49429e-3	18.3736	29.99	0.198671	277.300
4.24	1.53325e-3	18.4410	29.99	0.203850	278.318
4.26	1.57172e-3	18.5084	29.99	0.208965	279.336
4.28	1.61131e-3	18.5759	29.99	0.214228	280.354
4.29	1.65155e-3	18.6431	29.99	0.219578	281.369
4.31	1.69269e-3	18.7107	29.99	0.225048	282.388
4.33	1.73498e-3	18.7780	29.99	0.230671	283.405
4.34	1.77727e-3	18.8455	29.99	0.236294	284.423
4.36	1.82080e-3	18.9127	29.99	0.242081	285.438
4.38	1.86438e-3	18.9802	29.99	0.247876	286.457
4.39	1.90861e-3	19.0477	29.99	0.253756	287.474
4.41	1.95533e-3	19.1150	29.99	0.259968	288.491
4.43	2.00241e-3	19.1823	29.99	0.266227	289.507
4.44	2.04978e-3	19.2498	29.99	0.272525	290.525
4.46	2.09726e-3	19.3173	29.99	0.278838	291.544
4.48	2.14687e-3	19.3845	29.99	0.285433	292.558
4.49	2.19828e-3	19.4521	29.99	0.292269	293.578
4.51	2.24936e-3	19.5193	29.99	0.299060	294.592
4.53	2.30075e-3	19.5868	29.99	0.305892	295.612
4.54	2.35310e-3	19.6540	29.99	0.312852	296.626
4.56	2.40665e-3	19.7217	29.99	0.319972	297.647
4.58	2.46143e-3	19.7890	29.99	0.327255	298.663
4.59	2.51596e-3	19.8565	29.99	0.334505	299.681
4.61	2.57084e-3	19.9238	29.99	0.341802	300.697
4.63	2.62803e-3	19.9913	29.99	0.349405	301.715
4.64	2.68673e-3	20.0585	29.99	0.357209	302.730
4.66	2.74738e-3	20.1260	29.99	0.365273	303.749
4.68	2.80885e-3	20.1934	29.99	0.373446	304.766
4.69	2.87204e-3	20.2608	29.99	0.381847	305.783
4.71	2.93639e-3	20.3282	29.99	0.390403	306.800
4.73	3.00286e-3	20.3956	29.99	0.399241	307.817
4.74	3.07162e-3	20.4629	29.99	0.408382	308.834
4.76	3.14034e-3	20.5305	29.99	0.417518	309.853
4.78	3.20973e-3	20.5977	29.99	0.426744	310.867
4.79	3.28090e-3	20.6651	29.99	0.436207	311.886
4.81	3.35410e-3	20.7326	29.99	0.445939	312.904
4.83	3.42818e-3	20.7999	29.99	0.455787	313.920
4.84	3.50253e-3	20.8673	29.99	0.465672	314.937
4.86	3.57906e-3	20.9346	29.99	0.475847	315.953
4.88	3.65528e-3	21.0022	29.99	0.485981	316.974
4.89	3.73393e-3	21.0695	29.99	0.496439	317.988
4.91	3.81572e-3	21.1368	29.99	0.507312	319.004
4.93	3.89994e-3	21.2044	29.99	0.518510	320.024
4.94	3.98579e-3	21.2716	30.00	0.529924	321.038
4.96	4.07312e-3	21.3391	29.99	0.541535	322.057
4.98	4.16203e-3	21.4065	30.00	0.553355	323.075
4.99	4.25507e-3	21.4739	30.00	0.565726	324.092
5.01	4.34952e-3	21.5414	30.00	0.578283	325.110
5.03	4.44506e-3	21.6086	30.00	0.590985	326.125
5.04	4.54063e-3	21.6760	29.99	0.603692	327.143
5.06	4.64082e-3	21.7436	30.00	0.617012	328.162
